fips_st_cnty,state,county,elevation,low birth weight 2023,very low birth rate 2023,very low birth rate 2022,white low birth weight 2023,white low birth weight 2022,black low birth weight 2023,black low birth weight 2022,other low birth weight 2023,other low birth weight 2022
1001,AL,Autauga,290,72,15,16,41,41,29,32,,
1003,AL,Baldwin,155,203,32,34,154,161,37,36,11,
1005,AL,Barbour,220,36,,,,,29,29,,
1007,AL,Bibb,224,24,,,16,15,,,,
1009,AL,Blount,870,52,,10,48,48,,,,
1011,AL,Bullock,455,14,,,,,12,14,,
1013,AL,Butler,445,26,,,,,16,19,,
1015,AL,Calhoun,565,117,21,19,70,73,43,45,,
1017,AL,Chambers,745,50,,13,24,27,26,25,,
1019,AL,Cherokee,589,18,,,17,15,,,,
1021,AL,Chilton,580,50,,,39,37,10,,,
1023,AL,Choctaw,350,13,,,,,,,,
1025,AL,Clarke,405,39,,,10,11,29,27,,
1027,AL,Clay,745,14,,,10,13,,,,
1029,AL,Cleburne,1175,15,,,14,12,,,,
1031,AL,Coffee,195,54,,,33,35,14,15,,
1033,AL,Colbert,536,65,12,13,47,47,14,14,,
1035,AL,Conecuh,216,18,,,,,11,12,,
1037,AL,Coosa,660,,,,,,,,,
1039,AL,Covington,260,35,,,23,25,11,13,,
1041,AL,Crenshaw,594,15,,,,,,,,
1043,AL,Cullman,802,84,11,11,80,85,,,,
1045,AL,Dale,470,64,10,,40,39,21,18,,
1047,AL,Dallas,147,57,10,11,,,48,55,,
1049,AL,DeKalb,1040,71,13,12,67,67,,,,
1051,AL,Elmore,290,83,16,14,53,49,28,30,,
1053,AL,Escambia,85,39,,,16,19,19,18,,
1055,AL,Etowah,565,89,16,13,62,65,22,25,,
1057,AL,Fayette,365,15,,,10,11,,,,
1059,AL,Franklin,840,39,,,35,32,,,,
1061,AL,Geneva,107,26,,,20,21,,,,
1063,AL,Greene,110,16,,,,,15,14,,
1065,AL,Hale,220,28,,,,,22,22,,
1067,AL,Henry,371,22,,,11,10,11,10,,
1069,AL,Houston,371,141,21,22,63,60,74,76,,
1071,AL,Jackson,615,49,,,46,48,,,,
1073,AL,Jefferson,620,906,165,167,342,327,534,545,30,27
1075,AL,Lamar,365,21,,,17,14,,,,
1077,AL,Lauderdale,536,80,12,13,61,63,15,18,,
1079,AL,Lawrence,536,31,,,26,26,,,,
1081,AL,Lee,730,193,30,33,105,102,75,74,13,12
1083,AL,Limestone,580,105,14,17,76,72,22,21,,
1085,AL,Lowndes,180,20,,,,,18,20,,
1087,AL,Macon,455,22,,,,,19,21,,
1089,AL,Madison,600,440,65,66,239,238,173,184,28,27
1091,AL,Marengo,225,26,,,,,18,19,,
1093,AL,Marion,950,37,,,35,33,,,,
1095,AL,Marshall,1140,121,16,13,110,109,,,,
1097,AL,Mobile,211,615,115,123,231,231,361,383,23,28
1099,AL,Monroe,410,23,,,,13,13,13,,
1101,AL,Montgomery,183,396,79,78,73,66,305,322,17,16
1103,AL,Morgan,580,136,21,19,100,92,29,34,,
1105,AL,Perry,170,13,,,,,12,13,,
1107,AL,Pickens,228,22,,,,,13,13,,
1109,AL,Pike,580,46,,,14,16,31,29,,
1111,AL,Randolph,745,29,,,20,17,,,,
1113,AL,Russell,220,90,13,12,39,32,47,47,,
1115,AL,St. Clair,590,95,11,13,76,80,17,17,,
1117,AL,Shelby,462,216,34,34,149,152,57,53,10,
1119,AL,Sumter,160,19,,,,,16,17,,
1121,AL,Talladega,565,90,14,19,47,50,41,53,,
1123,AL,Tallapoosa,760,46,,,20,15,23,27,,
1125,AL,Tuscaloosa,170,300,69,64,118,114,174,183,,
1127,AL,Walker,334,83,14,13,72,70,,,,
1129,AL,Washington,405,18,,,,12,,,,
1131,AL,Wilcox,405,20,,,,,17,15,,
1133,AL,Winston,950,22,,,20,23,,,,
2013,AK,Aleutians East (B),,,,,,,,,,
2016,AK,Aleutians West (CA),,,,,,,,,,
2020,AK,Anchorage (B),,252,43,45,113,120,23,26,116,114
2050,AK,Bethel (CA),,38,,,,,,,37,34
2060,AK,Bristol Bay (B),,,,,,,,,,
2063,AK,Chugach (CA),,,,,,,,,,
2066,AK,Copper River (CA),,,,,,,,,,
2068,AK,Denali (B),,,,,,,,,,
2070,AK,Dillingham (CA),,,,,,,,,,
2090,AK,Fairbanks North Star (B),,95,13,15,66,65,,10,20,19
2100,AK,Haines (B),,,,,,,,,,
2105,AK,Hoonah-Angoon (CA),,,,,,,,,,
2110,AK,Juneau (B),,16,,,,11,,,,
2122,AK,Kenai Peninsula (B),,35,,,26,28,,,,
2130,AK,Ketchikan Gateway (B),,,,,,,,,,
2150,AK,Kodiak Island (B),,,,,,,,,,
2158,AK,Kusilvak (CA),,19,,,,,,,19,19
2164,AK,Lake and Peninsula (B),,,,,,,,,,
2170,AK,Matanuska-Susitna (B),,76,13,12,58,59,,,18,19
2180,AK,Nome (CA),,13,,,,,,,12,13
2185,AK,North Slope (B),,13,,,,,,,13,11
2188,AK,Northwest Arctic (B),,12,,,,,,,11,13
2195,AK,Petersburg (B),,,,,,,,,,
2198,AK,Prince of Wales-Hyde,,,,,,,,,,
2220,AK,Sitka (B),,,,,,,,,,
2230,AK,Skagway Municipality (B),,,,,,,,,,
2240,AK,Southeast Fairbanks (CA),,,,,,,,,,
2261,AK,Valdez-Cordova (CA),,,,,,,,,,
2275,AK,Wrangell (B),,,,,,,,,,
2282,AK,Yakutat (B),,,,,,,,,,
2290,AK,Yukon-Koyukuk (CA),,,,,,,,,,
4001,AZ,Apache,6340,64,,,18,16,,,46,48
4003,AZ,Cochise,4610,107,16,17,94,91,,,,
4005,AZ,Coconino,6950,106,14,11,62,61,,,44,41
4007,AZ,Gila,5100,43,,,28,27,,,13,15
4009,AZ,Graham,2900,34,,,30,34,,,,
4011,AZ,Greenlee,3460,12,,,11,13,,,,
4012,AZ,La Paz,,13,,,,,,,,
4013,AZ,Maricopa,1117,3990,623,588,2957,2850,521,519,511,454
4015,AZ,Mohave,3820,129,18,20,115,120,,,13,12
4017,AZ,Navajo,4895,105,15,17,50,45,,,54,59
4019,AZ,Pima,2584,839,131,133,660,656,70,67,109,109
4021,AZ,Pinal,1405,358,55,49,275,247,37,36,46,46
4023,AZ,Santa Cruz,4985,40,,,38,44,,,,
4025,AZ,Yavapai,5510,135,20,23,128,119,,,,
4027,AZ,Yuma,194,206,33,33,190,182,,,11,
5001,AR,Arkansas,198,25,,,13,10,11,12,,
5003,AR,Ashley,175,17,,,10,11,,10,,
5005,AR,Baxter,800,22,,,22,22,,,,
5007,AR,Benton,1360,282,48,46,219,207,12,13,51,55
5009,AR,Boone,1170,27,,,26,25,,,,
5011,AR,Bradley,206,14,,,,,,10,,
5013,AR,Calhoun,264,,,,,,,,,
5015,AR,Carroll,1518,27,,,26,27,,,,
5017,AR,Chicot,140,13,,,,,,13,,
5019,AR,Clark,196,21,,,12,13,,,,
5021,AR,Clay,293,14,,,14,15,,,,
5023,AR,Cleburne,550,16,,,15,16,,,,
5025,AR,Cleveland,264,,,,,,,,,
5027,AR,Columbia,315,24,,,,,16,19,,
5029,AR,Conway,280,19,,,13,10,,,,
5031,AR,Craighead,345,160,28,26,90,89,62,63,,
5033,AR,Crawford,793,60,,,54,55,,,,
5035,AR,Crittenden,563,95,17,17,21,17,74,74,,
5037,AR,Cross,215,16,,,,11,,,,
5039,AR,Dallas,264,,,,,,,,,
5041,AR,Desha,160,15,,,,,10,12,,
5043,AR,Drew,300,18,,,,,10,12,,
5045,AR,Faulkner,316,129,21,19,83,80,39,39,,
5047,AR,Franklin,396,16,,,15,13,,,,
5049,AR,Fulton,690,12,,,11,10,,,,
5051,AR,Garland,680,93,17,17,65,67,23,23,,
5053,AR,Grant,290,20,,,19,19,,,,
5055,AR,Greene,276,51,10,,46,43,,,,
5057,AR,Hempstead,375,28,,,12,11,15,14,,
5059,AR,Hot Spring,680,28,,,19,21,,,,
5061,AR,Howard,550,20,,,12,13,,,,
5063,AR,Independence,571,44,,,39,35,,,,
5065,AR,Izard,600,10,,,,,,,,
5067,AR,Jackson,220,16,,,11,12,,,,
5069,AR,Jefferson,215,100,18,17,21,24,76,77,,
5071,AR,Johnson,500,27,,,25,22,,,,
5073,AR,Lafayette,375,,,,,,,,,
5075,AR,Lawrence,269,20,,,19,19,,,,
5077,AR,Lee,234,12,,,,,11,12,,
5079,AR,Lincoln,160,11,,,,,,,,
5081,AR,Little River,300,16,,,11,11,,,,
5083,AR,Logan,500,25,,,24,24,,,,
5085,AR,Lonoke,235,73,14,12,59,58,12,14,,
5087,AR,Madison,1270,18,,,17,15,,,,
5089,AR,Marion,800,11,,,11,12,,,,
5091,AR,Miller,300,54,14,12,27,22,26,27,,
5093,AR,Mississippi,252,57,,,20,21,36,40,,
5095,AR,Monroe,205,,,,,,,,,
5097,AR,Montgomery,697,,,,,,,,,
5099,AR,Nevada,308,11,,,,,,,,
5101,AR,Newton,1170,,,,,,,,,
5103,AR,Ouachita,116,27,,,,,17,18,,
5105,AR,Perry,330,10,,,,,,,,
5107,AR,Phillips,220,29,,,,,23,22,,
5109,AR,Pike,587,11,,,10,10,,,,
5111,AR,Poinsett,229,32,,,27,26,,,,
5113,AR,Polk,1207,15,,,14,13,,,,
5115,AR,Pope,346,52,,11,49,48,,,,
5117,AR,Prairie,204,,,,,,,,,
